id;libelle;image;image_content_type
1;Account even-keeled Carolina;../fake-data/blob/hipster.png;image/png
2;Ouguiya;../fake-data/blob/hipster.png;image/png
3;Gorgeous distributed Omani;../fake-data/blob/hipster.png;image/png
4;out-of-the-box Direct Oregon;../fake-data/blob/hipster.png;image/png
5;Fords strategize;../fake-data/blob/hipster.png;image/png
6;District deposit withdrawal;../fake-data/blob/hipster.png;image/png
7;Rustic;../fake-data/blob/hipster.png;image/png
8;bluetooth;../fake-data/blob/hipster.png;image/png
9;Avon Rubber;../fake-data/blob/hipster.png;image/png
10;blue;../fake-data/blob/hipster.png;image/png
